Return ID,Size,Gender,Item Code,Item Description,Return Description,Brand,Return Type,Date logged,City,Area Code,Origin,Stage,Sub Status,Returned Successfully,Satisfaction,Within SLA,Closed date
228,L,Mixed,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/12/2019,Birmingham,B15 1TP,Letter,Completed,Decision Pending,FALSE,6,TRUE,16/12/2019
229,XL,Men,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,General Return,01/01/2019,Birmingham,B26 3PN ,Chat,Stage 1,Upheld,FALSE,8,TRUE,16/01/2019
230,XXL,Women,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/02/2019,Birmingham,B29 5LN,In Store,Stage 2,Rejected,TRUE,0,TRUE,16/02/2019
231,S,Mixed,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/03/2019,Birmingham,B28 0UU,In Store,Stage 3,Closed,TRUE,1,TRUE,16/03/2019
232,M,Men,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/04/2019,Birmingham,B17 9ND ,Phone,Completed,Acknowledged,FALSE,3,TRUE,16/04/2019
233,L,Women,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Unexpected Issue,01/05/2019,Birmingham,B15 2QJ ,In Store,Stage 1,In Progress,FALSE,1,FALSE,30/07/2019
234,XL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/06/2019,Birmingham,B26 3PP ,Chat,Stage 2,Decision Pending,FALSE,7,TRUE,16/06/2019
235,XXL,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Unexpected Issue,01/07/2019,Birmingham,B27 6LD,In Store,Stage 3,Decision Pending,FALSE,8,TRUE,16/07/2019
236,S,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,General Return,01/07/2019,Birmingham,B28 0JP ,In Store,Completed,Upheld,FALSE,1,FALSE,30/08/2019
237,M,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Customer Service Failure,01/09/2019,Birmingham,B17 9NE ,Phone,Stage 1,Rejected,TRUE,1,TRUE,16/09/2019
238,L,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/10/2019,Birmingham,B15 2QP ,In Store,Stage 2,Decision Pending,FALSE,6,TRUE,16/10/2019
239,XL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/11/2019,Birmingham,B26 3PX ,Phone,Stage 3,Acknowledged,FALSE,1,FALSE,30/01/2020
240,XXL,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/12/2019,Birmingham,B30 2YW,In Store,Completed,In Progress,FALSE,10,TRUE,16/12/2019
241,S,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/01/2019,Birmingham,B28 0JR,In Store,Stage 2,Decision Pending,FALSE,1,TRUE,16/01/2019
242,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/02/2019,Birmingham,B17 9NJ ,Phone,Stage 2,Decision Pending,FALSE,3,FALSE,02/05/2019
243,L,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/03/2019,Birmingham,B28 0SR ,Letter,Stage 3,Upheld,FALSE,5,TRUE,16/03/2019
244,XL,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/04/2019,Birmingham,B26 3PY ,Chat,Completed,Rejected,TRUE,2,TRUE,16/04/2019
245,XXL,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/05/2019,Birmingham,B1 2PL ,In Store,Stage 1,Closed,TRUE,1,FALSE,30/06/2019
246,S,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/06/2019,Birmingham,B28 0ST ,In Store,Stage 2,Acknowledged,FALSE,2,TRUE,16/06/2019
247,M,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Quality of Product,01/07/2019,Birmingham,B17 9NN ,Phone,Stage 3,In Progress,FALSE,4,TRUE,16/07/2019
248,L,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/08/2019,Birmingham,B15 3RA ,Letter,Completed,Decision Pending,FALSE,1,FALSE,30/09/2019
249,XL,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,General Return,01/09/2019,Birmingham,B26 3YU,Chat,Stage 1,Decision Pending,FALSE,8,TRUE,16/09/2019
250,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/10/2019,Birmingham,B1 2PN ,In Store,Stage 2,Upheld,FALSE,10,TRUE,16/10/2019
251,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/11/2019,Birmingham,B28 0SU ,Web,Stage 3,Rejected,TRUE,2,TRUE,16/11/2019
252,M,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/12/2019,Birmingham,B17 9NP ,Phone,Completed,Closed,FALSE,0,FALSE,30/01/2020
253,L,Men,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Unexpected Issue,01/01/2019,Birmingham,B15 3RB ,Letter,Stage 1,Acknowledged,FALSE,5,TRUE,16/01/2019
254,XL,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/07/2019,Birmingham,B26 3JY ,Chat,Stage 2,In Progress,FALSE,1,FALSE,29/09/2019
255,XXL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/03/2019,Birmingham,B1 2PW,In Store,Stage 3,Decision Pending,FALSE,7,TRUE,16/03/2019
256,S,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/04/2019,Birmingham,B28 0SX ,In Store,Completed,Decision Pending,FALSE,2,TRUE,16/04/2019
257,M,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Customer Service Failure,01/05/2019,Birmingham,B17 9NR ,Phone,Stage 1,Upheld,FALSE,4,FALSE,30/06/2019
258,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/06/2019,Birmingham,B15 3RE,Letter,Stage 2,Rejected,TRUE,0,TRUE,16/06/2019
259,XL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/07/2019,Birmingham,B28 0SZ ,Chat,Stage 3,Closed,TRUE,8,TRUE,16/07/2019
260,XXL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/08/2019,Birmingham,B44 0RP,Social,Completed,Acknowledged,FALSE,1,FALSE,15/09/2019
261,L,Mixed,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/09/2019,Birmingham,B28 0TB ,In Store,Stage 1,In Progress,FALSE,1,TRUE,16/09/2019
262,M,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/10/2019,Birmingham,B17 9NS ,Phone,Stage 2,Decision Pending,FALSE,3,TRUE,16/10/2019
263,L,Women,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/11/2019,Birmingham,B15 2QL ,In Store,Stage 3,Decision Pending,FALSE,1,FALSE,01/12/2019
264,XL,Mixed,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/12/2019,Birmingham,B26 3LA ,Chat,Completed,Upheld,FALSE,7,TRUE,16/12/2019
265,XXL,Men,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/01/2019,Birmingham,B32 3PW,In Store,Stage 1,Rejected,TRUE,3,TRUE,16/01/2019
266,S,Women,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/02/2019,Birmingham,B28 0TE ,Web,Stage 2,Closed,TRUE,0,FALSE,02/05/2019
267,M,Mixed,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/03/2019,Birmingham,B17 9NT ,Phone,Stage 2,Acknowledged,FALSE,4,TRUE,16/03/2019
268,L,Men,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/04/2019,Birmingham,B15 2QN,Letter,Completed,In Progress,FALSE,6,TRUE,16/04/2019
269,XL,Women,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/05/2019,Birmingham,B26 3LE,Chat,Stage 1,Decision Pending,FALSE,0,FALSE,30/07/2019
270,XXL,Mixed,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/06/2019,Birmingham,B32 3PB ,Social,Stage 2,Decision Pending,FALSE,10,TRUE,16/06/2019
271,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/07/2019,Birmingham,B28 0TF ,In Store,Stage 3,Upheld,FALSE,1,TRUE,16/07/2019
272,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/08/2019,Birmingham,B17 9PN ,Phone,Completed,Rejected,TRUE,2,TRUE,16/08/2019
273,L,Mixed,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Unexpected Issue,01/09/2019,Birmingham,B16 8JE ,Letter,Stage 1,Closed,TRUE,5,TRUE,16/09/2019
274,XL,Men,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/10/2019,Birmingham,B28 0TG,Phone,Stage 2,Acknowledged,FALSE,7,TRUE,16/10/2019
275,XXL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/11/2019,Birmingham,B32 3PD ,Social,Stage 3,In Progress,FALSE,1,FALSE,01/12/2019
276,S,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/12/2019,Birmingham,B28 8TD ,Web,Completed,Decision Pending,FALSE,2,TRUE,16/12/2019
277,M,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Customer Service Failure,01/01/2019,Birmingham,B17 9PP ,Phone,Stage 1,Decision Pending,FALSE,4,TRUE,16/01/2019
278,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/02/2019,Birmingham,B16 8SN ,Letter,Stage 2,Upheld,FALSE,6,FALSE,02/05/2019
279,XL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/03/2019,Birmingham,B26 3TU,In Store,Stage 3,Rejected,TRUE,3,TRUE,16/03/2019
280,XXL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/04/2019,Birmingham,B32 3PJ ,In Store,Completed,Closed,FALSE,1,FALSE,16/05/2019
281,L,Women,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/05/2019,Birmingham,B28 8TE,Web,Stage 1,Acknowledged,FALSE,1,FALSE,30/06/2019
282,M,Mixed,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/06/2019,Birmingham,B17 9PT ,Phone,Stage 2,In Progress,FALSE,3,TRUE,16/06/2019
283,L,Men,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/07/2019,Birmingham,B16 8SP ,Letter,Stage 3,Decision Pending,FALSE,5,TRUE,16/07/2019
284,XL,Women,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/08/2019,Birmingham,B26 3SZ,Chat,Completed,Decision Pending,FALSE,0,FALSE,30/09/2019
285,XXL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/09/2019,Birmingham,B32 3PP ,Social,Stage 1,Upheld,FALSE,8,TRUE,16/09/2019
286,S,Men,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Quality of Product,01/10/2019,Birmingham,B28 8SE ,Web,Stage 2,Rejected,TRUE,1,TRUE,16/10/2019
287,M,Women,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/11/2019,Birmingham,B17 9PU ,Phone,Stage 3,Decision Pending,FALSE,4,FALSE,01/12/2019
288,L,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/07/2019,Birmingham,B28 8SF ,Letter,Completed,Acknowledged,FALSE,6,TRUE,16/07/2019
289,L,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,General Return,01/01/2019,Birmingham,B26 3SX ,Chat,Stage 1,In Progress,FALSE,8,TRUE,16/01/2019
290,XXL,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/02/2019,Birmingham,B32 3QD ,In Store,Stage 2,Decision Pending,FALSE,1,FALSE,02/05/2019
291,S,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/03/2019,Birmingham,B28 8SG ,Web,Stage 3,Decision Pending,FALSE,1,TRUE,16/03/2019
292,M,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/07/2019,Birmingham,B17 9PW ,Phone,Completed,Upheld,FALSE,3,TRUE,16/07/2019
293,L,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Unexpected Issue,01/05/2019,Birmingham,B16 8SU,Phone,Stage 2,Rejected,TRUE,3,TRUE,16/05/2019
294,XL,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/06/2019,Birmingham,B26 3SY,Chat,Stage 2,Closed,TRUE,7,TRUE,16/06/2019
295,XXL,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Unexpected Issue,01/07/2019,Birmingham,B32 3QG ,Social,Stage 3,Acknowledged,FALSE,8,TRUE,16/07/2019
296,L,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,General Return,01/08/2019,Birmingham,B28 8SQ,Web,Completed,In Progress,FALSE,1,FALSE,30/09/2019
297,M,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Customer Service Failure,01/09/2019,Birmingham,B17 9PY ,Phone,Stage 1,Decision Pending,FALSE,4,TRUE,16/09/2019
298,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/10/2019,Birmingham,B15 1HN ,Letter,Stage 2,Decision Pending,FALSE,6,TRUE,16/10/2019
299,XL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/11/2019,Birmingham,B26 3LB,Chat,Stage 3,Upheld,FALSE,1,FALSE,30/01/2020
300,XXL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/12/2019,Birmingham,B32 3QH ,In Store,Completed,Rejected,TRUE,2,TRUE,16/12/2019
301,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/01/2019,Birmingham,B28 8HT ,In Store,Stage 1,Closed,TRUE,1,TRUE,16/01/2019
302,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/07/2019,Birmingham,B17 9QE ,Phone,Stage 2,Acknowledged,FALSE,0,FALSE,29/09/2019
303,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/03/2019,Birmingham,B15 1JD ,Letter,Stage 3,In Progress,FALSE,5,TRUE,16/03/2019
304,XL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/04/2019,Birmingham,B26 1BN,Chat,Completed,Decision Pending,FALSE,7,TRUE,16/04/2019
305,XXL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/05/2019,Birmingham,B32 3QJ,Social,Stage 1,Decision Pending,FALSE,0,FALSE,30/07/2019
306,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Quality of Product,01/06/2019,Birmingham,B28 8HU ,Web,Stage 2,Upheld,FALSE,2,TRUE,16/06/2019
307,M,Men,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Quality of Product,01/07/2019,Birmingham,B17 9QG ,Phone,Stage 3,Rejected,TRUE,0,TRUE,16/07/2019
308,L,Women,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/08/2019,Birmingham,B15 1JJ ,In Store,Completed,Closed,FALSE,0,FALSE,30/09/2019
309,XL,Mixed,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,General Return,01/09/2019,Birmingham,B26 2QJ,Chat,Stage 1,Acknowledged,FALSE,8,TRUE,16/09/2019
310,L,Men,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/10/2019,Birmingham,B7 4DE ,Social,Stage 2,In Progress,FALSE,10,TRUE,16/10/2019
311,S,Women,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/07/2019,Birmingham,B28 8JA ,Web,Stage 3,Decision Pending,FALSE,1,FALSE,31/07/2019
312,M,Mixed,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/12/2019,Birmingham,B17 9QH ,In Store,Completed,Decision Pending,FALSE,3,TRUE,16/12/2019
313,L,Men,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Unexpected Issue,01/01/2019,Birmingham,B28 8JD ,Phone,Stage 1,Upheld,FALSE,5,TRUE,16/01/2019
314,XL,Women,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/02/2019,Birmingham,B26 3TH ,In Store,Stage 2,Rejected,TRUE,4,TRUE,16/02/2019
315,L,Mixed,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/03/2019,Birmingham,B7 4LT,Social,Stage 3,Closed,TRUE,8,TRUE,16/03/2019
316,L,Men,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/07/2019,Birmingham,B28 8JE ,Web,Completed,Acknowledged,FALSE,2,TRUE,16/07/2019
317,L,Women,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Customer Service Failure,01/05/2019,Birmingham,B17 9QL,Phone,Stage 2,In Progress,FALSE,1,FALSE,30/07/2019
318,L,Mixed,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Incorrect Fitting,01/06/2019,Birmingham,B15 1JN ,Letter,Stage 2,Decision Pending,FALSE,6,TRUE,16/06/2019
319,XL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/07/2019,Birmingham,B26 3TP ,Chat,Stage 3,Decision Pending,FALSE,8,TRUE,16/07/2019
320,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/08/2019,Birmingham,B8 1LB,Social,Completed,Upheld,FALSE,1,FALSE,30/09/2019
321,S,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/09/2019,Birmingham,B28 8JF ,Web,Stage 1,Rejected,TRUE,2,TRUE,16/09/2019
322,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/10/2019,Birmingham,B17 8DB,Phone,Stage 2,Closed,TRUE,3,TRUE,16/10/2019
323,L,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/11/2019,Birmingham,B15 1SH,Letter,Stage 3,Acknowledged,FALSE,1,FALSE,30/01/2020
324,XL,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/12/2019,Birmingham,B28 8JG ,Chat,Completed,In Progress,FALSE,7,TRUE,16/12/2019
325,XXL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/01/2019,Birmingham,B8 1TB,In Store,Stage 1,Decision Pending,FALSE,8,TRUE,16/01/2019
326,S,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/02/2019,Birmingham,B28 8JQ ,Web,Stage 2,Decision Pending,FALSE,1,FALSE,02/05/2019
327,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/03/2019,Birmingham,B17 9QS,Phone,Stage 3,Upheld,FALSE,4,TRUE,16/03/2019
328,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/04/2019,Birmingham,B15 1NP ,Letter,Completed,Rejected,TRUE,2,TRUE,16/04/2019
329,XL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/07/2019,Birmingham,B26 3TS ,In Store,Stage 1,Closed,TRUE,0,FALSE,30/08/2019
330,XXL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Unexpected Issue,01/06/2019,Birmingham,B8 1ED ,Social,Stage 2,Acknowledged,FALSE,10,TRUE,16/06/2019
331,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/07/2019,Birmingham,B28 8PA ,Web,Stage 3,In Progress,FALSE,1,TRUE,16/07/2019
332,L,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/08/2019,Birmingham,B32 2AR ,Phone,Completed,Decision Pending,FALSE,3,FALSE,30/09/2019
333,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Unexpected Issue,01/09/2019,Birmingham,B15 1NS ,Letter,Stage 1,Decision Pending,FALSE,7,TRUE,16/09/2019
334,XL,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/10/2019,Birmingham,B28 8PB ,Chat,Stage 2,Upheld,FALSE,7,TRUE,16/10/2019
335,XXL,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/11/2019,Birmingham,B8 1EH ,Social,Stage 3,Rejected,TRUE,1,TRUE,16/11/2019
336,S,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/12/2019,Birmingham,B28 8PD ,Web,Completed,Decision Pending,FALSE,2,TRUE,16/12/2019
337,M,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Customer Service Failure,01/01/2019,Birmingham,B32 2AS,Phone,Stage 1,Acknowledged,FALSE,4,TRUE,16/01/2019
338,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Incorrect Fitting,01/02/2019,Birmingham,B15 1NU ,In Store,Stage 2,In Progress,FALSE,1,FALSE,02/05/2019
339,XL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,General Return,01/03/2019,Birmingham,B26 3TT ,Chat,Stage 3,Decision Pending,FALSE,8,TRUE,16/03/2019
340,XXL,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Incorrect Fitting,01/04/2019,Birmingham,B8 1LD ,In Store,Completed,Decision Pending,FALSE,10,TRUE,16/04/2019
341,S,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/05/2019,Birmingham,B28 8PE ,Web,Stage 1,Upheld,FALSE,1,FALSE,30/06/2019
342,M,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/06/2019,Birmingham,B17 8BU ,Phone,Stage 2,Rejected,TRUE,3,TRUE,16/06/2019
343,L,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/07/2019,Birmingham,B28 8PF,Letter,Stage 2,Closed,TRUE,5,TRUE,16/07/2019
344,XL,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/07/2019,Birmingham,B26 3UB ,Chat,Completed,Acknowledged,FALSE,1,FALSE,15/08/2019
345,L,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/09/2019,Birmingham,B8 1LE,Social,Stage 1,In Progress,FALSE,8,TRUE,16/09/2019
346,S,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/07/2019,Birmingham,B28 0PF,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/07/2019
